DATE, Geschäftsklima,Geschäftslage,Geschäftserwartungen,Konjunkturampel
 09/2020,93.5,89.5,97.7,96.4
 10/2020,93.0,90.5,95.5,80.8
 11/2020,91.7,90.3,93.0,26.5
 12/2020,93.1,91.8,94.5,63.7
 01/2021,90.6,89.6,91.5,11.6
 02/2021,92.7,91.1,94.4,70.0
 03/2021,96.1,93.3,99.0,99.1
 04/2021,96.0,94.2,97.8,91.8
 05/2021,98.3,95.7,100.9,98.8
 06/2021,101.0,99.8,102.2,99.2
 07/2021,100.8,100.6,101.0,75.9
 08/2021,100.2,101.7,98.7,33.9
 09/2021,100.1,100.9,99.2,16.6
 10/2021,98.8,100.6,97.1,6.0
 11/2021,97.2,99.5,95.0,3.4
 12/2021,95.2,97.3,93.1,1.3
 01/2022,96.0,96.7,95.4,20.1
 02/2022,98.6,99.0,98.1,89.0
 03/2022,89.9,97.2,83.2,1.2
 04/2022,91.2,97.4,85.5,20.0
 05/2022,92.3,99.6,85.6,55.2
 06/2022,92.1,99.4,85.4,35.0
 07/2022,88.7,97.9,80.4,1.7
 08/2022,89.3,97.7,81.5,8.1
 09/2022,85.7,94.9,77.3,0.3
 10/2022,85.4,94.5,77.2,8.5
 11/2022,86.8,93.4,80.8,52.5
 12/2022,89.1,94.3,84.2,91.2
 01/2023,90.3,94.5,86.3,96.2
 02/2023,91.1,94.2,88.0,95.1
 03/2023,92.6,95.5,89.8,98.3
 04/2023,92.9,95.1,90.8,92.5
 05/2023,91.0,94.8,87.4,49.4
 06/2023,88.3,93.7,83.3,4.3
 07/2023,87.4,91.3,83.7,3.9
 08/2023,85.9,88.9,83.0,2.6
 09/2023,86.1,88.8,83.6,11.1
 10/2023,87.0,89.2,84.9,42.2
 11/2023,87.2,89.4,85.1,54.9
 12/2023,86.6,88.6,84.7,33.0
 01/2024,85.4,86.9,83.9,14.8
 02/2024,85.8,87.0,84.7,26.6
 03/2024,87.7,88.1,87.3,81.3
 04/2024,89.1,88.9,89.3,93.6
 05/2024,89.0,88.3,89.7,85.4
 06/2024,88.4,88.2,88.5,64.7
 07/2024,87.0,87.1,87.0,23.1
 08/2024,86.6,86.4,86.9,20.8
 09/2024,85.4,84.4,86.6,9.4
 10/2024,86.5,85.6,87.4,40.0
 11/2024,85.6,84.2,87.0,23.2
 12/2024,84.7,85.0,84.4,13.0
 01/2025,85.2,86.0,84.3,26.9
 02/2025,85.3,85.0,85.6,30.2
 03/2025,86.7,85.7,87.7,69.9
 04/2025,86.9,86.4,87.4,70.6
